date,AR6Cprice,AR6Cprice_lwr,AR6Cprice_upr
2020,72.81,2.23,151.52
2021,85.31,17.84,160.57
2022,97.81,33.46,169.62
2023,110.32,49.07,178.67
2024,122.82,64.68,187.71
2025,135.33,80.30,196.76
2026,147.83,95.91,205.81
2027,160.34,111.52,214.86
2028,172.84,127.14,223.90
2029,185.35,142.75,232.95
2030,197.85,158.37,242.00
2031,211.75,170.63,281.22
2032,225.66,182.90,320.44
2033,239.56,195.17,359.65
2034,253.46,207.44,398.87
2035,267.36,219.71,438.09
2036,284.07,231.02,464.18
2037,300.77,242.32,490.27
2038,317.47,253.62,516.36
2039,334.17,264.93,542.45
2040,350.88,276.23,568.53
2041,373.76,288.96,597.78
2042,396.64,301.68,627.03
2043,419.52,314.40,656.28
2044,442.40,327.13,685.53
2045,465.28,339.85,714.78
2046,481.66,350.64,749.25
2047,498.04,361.43,783.73
2048,514.41,372.22,818.20
2049,530.79,383.02,852.67
2050,547.17,393.81,887.15
